date,line,tile_id,lon,lat,height,nature_id
20251031,94898,0659_6868,2.44611111,48.90527778,107.07,38
20251031,189516,0655_6869,2.39111111,48.91333333,58.92,38
20251031,124599,0653_6847,2.36166667,48.71444444,101.26,38
20251031,163818,0642_6872,2.21444444,48.93750000,57.15,38
20251031,14415,0654_6864,2.38250000,48.87083333,82.40,38
20251031,144364,0653_6863,2.36138889,48.86111111,67.05,38
20251031,177138,0651_6863,2.34472222,48.86416667,60.13,17
20251031,180650,0646_6862,2.27472222,48.85027778,60.55,38
20251031,43209,0657_6863,2.42611111,48.86527778,138.66,38
20251031,186788,0648_6868,2.30277778,48.90694444,71.22,38
20251031,117538,0650_6852,2.32250000,48.76527778,79.87,38
20251031,49533,0675_6852,2.66888889,48.76250000,131.70,20
20251031,57873,0640_6858,2.19416667,48.81416667,121.12,38
20251031,115884,0661_6863,2.47333333,48.86027778,114.44,38
20251031,168686,0670_6879,2.59111111,49.00222222,115.61,17
20251031,71143,0656_6864,2.40083333,48.87166667,170.90,38
20251031,175109,0641_6876,2.20000000,48.97750000,150.67,38
20251031,82051,0665_6859,2.53361111,48.82972222,105.17,17
20251031,59862,0654_6864,2.37638889,48.87166667,81.81,38
20251031,54027,0651_6866,2.33777778,48.88777778,140.83,38
20251031,166131,0660_6866,2.45583333,48.88666667,97.92,17
20251031,169771,0642_6871,2.21500000,48.93416667,60.69,38
20251031,97310,0658_6855,2.43666667,48.78777778,53.24,38
20251031,163493,0666_6880,2.54277778,49.01361111,157.70,17
20251031,90075,0652_6859,2.35305556,48.82194444,84.79,38
20251031,58206,0683_6864,2.77250000,48.87333333,147.31,17
20251031,187038,0643_6869,2.22416667,48.91166667,73.37,17
20251031,66383,0649_6860,2.31861111,48.83777778,88.08,17
20251031,97860,0649_6859,2.31527778,48.82861111,93.98,38
20251031,117702,0655_6865,2.39444444,48.87777778,120.38,17
20251031,96949,0617_6849,1.87222222,48.73472222,194.45,17
20251031,167095,0643_6861,2.23166667,48.84638889,54.38,17
20251031,111911,0652_6844,2.35055556,48.68638889,108.67,38
20251031,168758,0645_6849,2.26000000,48.73083333,129.35,38
20251031,144901,0623_6859,1.96027778,48.82611111,133.20,38
20251031,90403,0661_6848,2.47027778,48.72361111,99.86,17
20251031,5277,0644_6867,2.23861111,48.89888889,86.33,38
20251031,4329,0640_6871,2.19333333,48.92750000,57.32,38
20251031,89139,0649_6849,2.30805556,48.73472222,110.51,38
20251031,111721,0656_6837,2.41250000,48.62611111,90.65,38
20251031,177642,0653_6859,2.37138889,48.82361111,84.64,17
20251031,192920,0647_6866,2.27833333,48.89027778,52.57,38
20251031,144298,0656_6859,2.40555556,48.82611111,81.68,38
20251031,73863,0654_6866,2.38277778,48.88416667,109.81,38
20251031,132579,0645_6866,2.25416667,48.89027778,64.94,38
20251031,171876,0654_6841,2.37694444,48.66027778,99.63,38
20251031,164886,0654_6862,2.38416667,48.84750000,62.85,17
20251031,27867,0653_6848,2.36944444,48.72805556,122.41,17
20251031,99660,0650_6859,2.32555556,48.82500000,105.37,38
20251031,15732,0653_6860,2.36500000,48.83111111,78.28,38
20251031,168524,0655_6854,2.39638889,48.78111111,75.95,38
20251031,185104,0653_6864,2.36861111,48.86861111,61.30,17
20251031,43744,0643_6865,2.23500000,48.87833333,60.31,38
20251031,85760,0654_6864,2.38305556,48.86638889,82.19,38
20251031,174656,0682_6862,2.75694444,48.85361111,137.71,17
20251031,50285,0645_6898,2.25000000,49.17138889,83.63,38
20251031,116717,0657_6869,2.41500000,48.91250000,69.30,38
20251031,46687,0653_6863,2.36111111,48.85861111,60.58,38
20251031,70057,0654_6861,2.37333333,48.84305556,92.86,38
20251031,109867,0666_6871,2.54666667,48.92944444,75.91,17
20251031,163092,0662_6858,2.49500000,48.81777778,61.74,38
20251031,170217,0650_6870,2.32916667,48.92027778,80.31,38
20251031,128467,0665_6871,2.53416667,48.93777778,105.52,38
20251031,107514,0645_6873,2.25250000,48.95138889,64.81,38
20251031,131126,0653_6865,2.37055556,48.88194444,82.55,17
20251031,187899,0645_6859,2.26111111,48.82138889,65.28,38
20251031,181012,0651_6863,2.33222222,48.86416667,63.64,38
20251031,156162,0666_6867,2.54333333,48.89333333,119.94,38
20251031,91130,0653_6865,2.36972222,48.87972222,88.12,38
20251031,117739,0647_6860,2.28777778,48.83500000,70.60,17
20251031,187045,0662_6857,2.48916667,48.80305556,64.61,38
20251031,172329,0653_6866,2.36861111,48.88361111,82.78,38
20251031,115317,0661_6864,2.47333333,48.87194444,137.45,17
20251031,59856,0659_6868,2.45083333,48.90722222,86.46,38
20251031,164696,0671_6854,2.60583333,48.78500000,117.53,38
20251031,115691,0629_6855,2.04194444,48.78416667,199.51,38
20251031,76928,0652_6874,2.35361111,48.95722222,77.63,38
20251031,122585,0661_6865,2.47888889,48.88055556,122.31,17
20251031,71522,0645_6873,2.25277778,48.95388889,65.64,38
20251031,71602,0649_6849,2.31416667,48.73277778,107.78,38
20251031,165394,0669_6879,2.58472222,49.00611111,121.55,17
20251031,106700,0650_6864,2.31944444,48.87361111,53.03,17
