date,line,tile_id,lon,lat,height,nature_id
20251031,180708,0665_6862,2.53444444,48.85083333,54.90,17
20251031,178997,0663_6845,2.50083333,48.69750000,55.88,17
20251031,159011,0651_6862,2.33972222,48.85222222,57.74,17
20251031,82307,0669_6861,2.57805556,48.84250000,103.78,17
20251031,147436,0665_6845,2.52611111,48.69972222,78.22,17
20251031,101303,0631_6855,2.06527778,48.78500000,174.18,38
20251031,184307,0663_6863,2.50888889,48.86500000,87.31,38
20251031,174152,0657_6856,2.42277778,48.79583333,66.93,38
20251031,104891,0662_6865,2.48250000,48.88388889,111.73,38
20251031,191933,0652_6866,2.35388889,48.88916667,82.56,38
20251031,162183,0659_6862,2.44611111,48.85277778,90.88,17
20251031,98006,0653_6844,2.37027778,48.69416667,106.02,38
20251031,48491,0652_6865,2.35166667,48.88305556,97.35,38
20251031,95247,0636_6856,2.14000000,48.79638889,140.40,38
20251031,161983,0659_6870,2.44583333,48.92055556,73.70,38
20251031,182831,0643_6850,2.22833333,48.74083333,98.23,17
20251031,132533,0669_6880,2.58638889,49.01805556,125.75,38
20251031,157026,0658_6838,2.44194444,48.63333333,99.20,38
20251031,91057,0651_6866,2.33972222,48.88527778,114.74,17
20251031,70028,0653_6863,2.36888889,48.86472222,65.85,38
20251031,182199,0664_6870,2.52055556,48.92611111,84.07,38
20251031,71986,0651_6866,2.33333333,48.88388889,99.68,38
20251031,132214,0656_6864,2.40750000,48.86694444,120.49,38
20251031,186125,0637_6872,2.14333333,48.94444444,54.90,38
20251031,165267,0638_6881,2.15361111,49.01944444,65.16,17
20251031,82236,0662_6860,2.49361111,48.83416667,61.20,38
20251031,133460,0652_6867,2.35250000,48.90055556,67.29,38
20251031,79297,0655_6855,2.38888889,48.78666667,85.61,38
20251031,167130,0648_6874,2.29638889,48.96305556,83.46,38
20251031,139384,0666_6861,2.54472222,48.84666667,101.02,17
20251031,165360,0654_6836,2.37777778,48.61388889,95.85,38
20251031,96038,0631_6846,2.07111111,48.70277778,87.98,38
20251031,169611,0648_6860,2.29361111,48.83750000,66.65,38
20251031,52331,0650_6879,2.31777778,49.00722222,196.01,38
20251031,77922,0647_6867,2.28361111,48.89972222,68.21,38
20251031,94019,0652_6852,2.35305556,48.76111111,106.12,17
20251031,175711,0644_6846,2.24666667,48.70916667,65.36,17
20251031,2179,0669_6860,2.59055556,48.83166667,110.77,38
20251031,176793,0633_6887,2.08972222,49.07111111,100.83,17
20251031,69664,0654_6865,2.38500000,48.87638889,140.42,38
20251031,13434,0652_6860,2.35555556,48.83472222,110.72,38
20251031,139115,0663_6867,2.50194444,48.89944444,88.54,17
20251031,184118,0664_6869,2.52194444,48.91861111,73.06,38
20251031,59598,0653_6858,2.36250000,48.81916667,83.78,38
20251031,82290,0651_6862,2.33972222,48.84833333,71.84,17
20251031,118737,0662_6871,2.49361111,48.93166667,64.93,17
20251031,21153,0659_6859,2.45055556,48.82083333,106.53,17
20251031,67571,0650_6867,2.33166667,48.89305556,97.81,38
20251031,130173,0654_6860,2.38111111,48.83833333,69.85,38
20251031,167451,0644_6860,2.23833333,48.83666667,67.85,17
20251031,76189,0639_6893,2.16611111,49.13000000,55.42,17
20251031,77943,0652_6882,2.34583333,49.03027778,116.13,38
20251031,19841,0641_6872,2.20138889,48.94500000,112.48,38
20251031,88046,0650_6853,2.33166667,48.77277778,96.91,38
20251031,52266,0645_6854,2.26166667,48.77888889,188.73,38
20251031,88065,0642_6891,2.21777778,49.11222222,44.96,17
20251031,173399,0629_6855,2.04138889,48.78916667,204.07,17
20251031,49878,0652_6853,2.35083333,48.77027778,103.92,38
20251031,61467,0665_6868,2.53500000,48.90833333,92.79,38
20251031,145047,0649_6861,2.31722222,48.84138889,94.78,17
20251031,187238,0645_6866,2.26027778,48.88444444,62.47,38
20251031,126482,0643_6869,2.23500000,48.91083333,61.34,38
20251031,30046,0649_6837,2.31027778,48.62805556,84.60,17
