date,line,tile_id,lon,lat,height,nature_id
20251031,135440,0663_6857,2.50861111,48.80638889,71.16,38
20251031,161673,0644_6873,2.24305556,48.95388889,64.82,38
20251031,142268,0659_6846,2.45000000,48.70555556,91.22,17
20251031,51714,0656_6857,2.41194444,48.80472222,74.96,38
20251031,143359,0624_6856,1.97333333,48.79500000,181.81,17
20251031,126848,0654_6875,2.38250000,48.96777778,66.68,17
20251031,163820,0624_6877,1.96472222,48.98583333,46.49,38
20251031,111495,0646_6866,2.26944444,48.88305556,59.81,38
20251031,169500,0652_6860,2.35027778,48.83083333,81.24,38
20251031,171938,0670_6879,2.59000000,49.00750000,118.43,17
20251031,140320,0647_6860,2.28000000,48.83777778,61.62,17
20251031,188221,0667_6859,2.55583333,48.82277778,109.13,38
20251031,94201,0675_6862,2.66750000,48.85500000,84.05,38
20251031,147905,0640_6845,2.18805556,48.69750000,97.53,17
20251031,39153,0668_6863,2.57694444,48.86277778,58.17,38
20251031,130165,0647_6860,2.27888889,48.83444444,92.06,38
20251031,149860,0646_6868,2.27666667,48.90194444,51.29,38
20251031,173673,0654_6863,2.38472222,48.86083333,73.18,38
20251031,90183,0653_6859,2.36333333,48.82861111,93.12,38
20251031,118740,0647_6868,2.28361111,48.90611111,47.48,17
20251031,173134,0652_6866,2.35833333,48.88861111,70.07,38
20251031,162543,0647_6858,2.28111111,48.81611111,88.97,17
20251031,44285,0647_6875,2.28583333,48.96388889,76.33,38
20251031,4541,0641_6870,2.19722222,48.92138889,42.59,17
20251031,178682,0652_6865,2.35250000,48.87777778,74.69,17
20251031,104469,0662_6837,2.49333333,48.62750000,95.31,38
20251031,192149,0643_6855,2.23027778,48.78444444,210.23,38
20251031,33796,0656_6876,2.40972222,48.97833333,85.82,38
20251031,117115,0643_6865,2.22805556,48.87472222,67.73,17
20251031,147222,0655_6862,2.39805556,48.85388889,81.54,38
20251031,34801,0631_6856,2.06750000,48.79750000,184.51,38
20251031,165208,0644_6859,2.24500000,48.82472222,58.06,17
20251031,2565,0663_6858,2.50361111,48.81527778,68.41,38
20251031,23343,0651_6860,2.34527778,48.83750000,75.35,38
20251031,135944,0646_6869,2.27388889,48.91861111,59.12,38
20251031,179409,0657_6838,2.42555556,48.63750000,96.47,38
20251031,99243,0647_6873,2.28888889,48.94861111,39.00,17
20251031,179487,0652_6854,2.34750000,48.77722222,139.78,38
20251031,143517,0651_6861,2.34527778,48.84416667,87.78,38
20251031,78185,0650_6864,2.33083333,48.86694444,67.71,38
20251031,119506,0649_6862,2.30888889,48.85277778,60.28,38
20251031,192012,0653_6860,2.36750000,48.83500000,63.79,38
20251031,174987,0645_6869,2.25222222,48.91694444,60.43,38
20251031,180491,0640_6876,2.18138889,48.97916667,89.88,38
20251031,185661,0652_6859,2.35416667,48.82722222,93.07,17
20251031,120332,0654_6875,2.37416667,48.97166667,67.52,38
20251031,186075,0653_6865,2.36750000,48.88194444,72.74,38
20251031,177242,0652_6876,2.35222222,48.97777778,81.08,38
20251031,42613,0661_6870,2.47388889,48.92694444,89.74,38
20251031,37355,0650_6846,2.32750000,48.70805556,108.75,38
20251031,97933,0650_6861,2.31944444,48.84194444,89.32,38
20251031,124952,0663_6870,2.50333333,48.92250000,77.13,17
20251031,4294,0653_6873,2.36027778,48.95166667,59.69,38
20251031,35198,0660_6855,2.46333333,48.78638889,65.74,17
20251031,186962,0640_6857,2.18750000,48.80833333,108.70,17
20251031,95622,0633_6885,2.09500000,49.05805556,100.60,17
20251031,105366,0653_6845,2.37222222,48.69833333,111.47,38
20251031,48552,0662_6870,2.48250000,48.92833333,72.07,17
20251031,58463,0668_6879,2.56333333,49.00916667,138.61,17
20251031,147954,0659_6857,2.44555556,48.80694444,58.06,38
20251031,33709,0652_6866,2.35277778,48.88750000,91.68,38
20251031,130168,0646_6860,2.27666667,48.83583333,64.38,38
20251031,85879,0661_6851,2.48083333,48.75000000,60.90,38
