date,line,tile_id,lon,lat,height,nature_id
20251031,142616,0658_6893,2.43472222,49.13194444,69.43,17
20251031,164023,0657_6837,2.42777778,48.62833333,157.78,17
20251031,86948,0649_6855,2.30916667,48.78888889,132.42,38
20251031,137087,0658_6845,2.43111111,48.69722222,71.40,38
20251031,148498,0668_6879,2.56916667,49.00944444,135.25,17
20251031,166347,0646_6863,2.27111111,48.86055556,69.57,17
20251031,160606,0648_6873,2.29972222,48.95472222,63.66,38
20251031,180359,0649_6860,2.31666667,48.83277778,88.42,17
20251031,176788,0655_6867,2.39333333,48.89416667,72.01,38
20251031,181183,0649_6864,2.31694444,48.87305556,58.76,17
20251031,124629,0627_6854,2.01750000,48.78027778,174.12,17
20251031,111630,0653_6864,2.36305556,48.87305556,58.59,38
20251031,91411,0649_6864,2.30972222,48.86972222,56.94,17
20251031,154487,0657_6848,2.41944444,48.72611111,48.00,38
20251031,79023,0650_6856,2.32500000,48.79583333,93.51,38
20251031,153292,0668_6879,2.57500000,49.00638889,114.12,17
20251031,164704,0649_6865,2.31083333,48.87444444,54.12,17
20251031,128206,0632_6853,2.07972222,48.77277778,187.75,38
20251031,5000,0659_6872,2.44777778,48.93916667,53.12,38
20251031,119459,0648_6866,2.29166667,48.88722222,68.64,38
20251031,56580,0660_6845,2.46638889,48.70111111,106.36,38
20251031,162205,0631_6883,2.06777778,49.03861111,69.52,17
20251031,90776,0649_6860,2.31305556,48.83305556,120.75,38
20251031,83422,0655_6866,2.39250000,48.89055556,71.77,17
20251031,74218,0656_6858,2.40111111,48.81805556,70.06,38
20251031,99244,0656_6865,2.40305556,48.88277778,84.46,17
20251031,61102,0641_6879,2.20611111,49.00305556,92.70,38
20251031,6715,0632_6880,2.07500000,49.01611111,65.31,17
20251031,45648,0656_6845,2.41527778,48.69833333,70.00,38
20251031,11294,0647_6862,2.28611111,48.84833333,69.43,38
20251031,119832,0646_6876,2.26833333,48.97833333,61.62,17
20251031,79484,0631_6856,2.07194444,48.79916667,174.14,38
20251031,53245,0650_6865,2.32361111,48.88000000,79.19,38
20251031,64263,0649_6861,2.30611111,48.83861111,89.07,38
20251031,155974,0655_6858,2.39861111,48.81805556,60.15,38
20251031,137071,0652_6869,2.34527778,48.91583333,61.89,38
20251031,67489,0655_6864,2.39222222,48.87361111,145.39,38
20251031,104095,0646_6873,2.26777778,48.95027778,93.26,38
20251031,71999,0651_6867,2.33944444,48.89750000,94.09,38
20251031,193389,0653_6875,2.36138889,48.96444444,66.84,38
20251031,93362,0660_6854,2.45611111,48.78083333,59.94,17
20251031,156160,0648_6870,2.30000000,48.92444444,57.64,38
20251031,49726,0661_6864,2.47833333,48.87444444,96.21,17
20251031,73849,0655_6866,2.39000000,48.88583333,97.19,38
20251031,134186,0646_6871,2.27138889,48.93027778,50.04,38
20251031,73089,0645_6871,2.25500000,48.92805556,51.93,38
20251031,60152,0656_6854,2.40388889,48.77944444,75.89,38
20251031,151597,0662_6867,2.48333333,48.90027778,88.22,38
20251031,21491,0652_6864,2.35805556,48.87194444,58.83,38
20251031,7464,0645_6849,2.25972222,48.73694444,111.09,38
20251031,36026,0645_6861,2.25972222,48.84305556,67.82,38
20251031,180660,0656_6866,2.40111111,48.88583333,83.41,17
20251031,151244,0669_6865,2.58166667,48.88277778,57.51,38
20251031,160298,0656_6858,2.40777778,48.81444444,54.45,17
20251031,114882,0640_6880,2.19166667,49.01333333,90.97,20
20251031,122469,0653_6857,2.36222222,48.80861111,105.76,38
20251031,87006,0663_6865,2.49861111,48.88333333,94.87,17
20251031,87209,0655_6875,2.39833333,48.97222222,100.56,38
20251031,98049,0647_6867,2.28972222,48.89944444,51.85,17
20251031,46855,0664_6853,2.51944444,48.77083333,104.50,17
20251031,89709,0664_6859,2.51611111,48.82750000,87.16,38
20251031,53725,0671_6856,2.61000000,48.79944444,137.67,38
20251031,117237,0650_6864,2.32111111,48.86750000,58.95,17
20251031,136879,0661_6860,2.48194444,48.83583333,94.32,17
20251031,178694,0648_6862,2.29583333,48.85361111,67.90,38
20251031,72002,0653_6861,2.37305556,48.84444444,78.84,38
20251031,56945,0653_6860,2.36944444,48.83500000,69.26,38
20251031,86486,0638_6866,2.16722222,48.88916667,61.90,38
20251031,191596,0650_6861,2.32472222,48.84194444,77.72,38
20251031,192520,0660_6866,2.45500000,48.89055556,113.62,38
20251031,71817,0654_6863,2.38055556,48.86083333,76.45,38
20251031,43842,0639_6843,2.17861111,48.67583333,200.44,17
20251031,68386,0647_6857,2.28861111,48.80222222,137.93,38
20251031,118419,0647_6859,2.28555556,48.82000000,80.88,38
20251031,135506,0656_6877,2.41166667,48.99055556,81.31,38
20251031,142703,0668_6861,2.57722222,48.84361111,124.58,38
20251031,127935,0659_6868,2.44833333,48.90500000,103.72,38
20251031,139112,0650_6866,2.32805556,48.88388889,86.03,17
20251031,118468,0661_6857,2.47361111,48.81083333,71.71,17
20251031,190588,0645_6878,2.25611111,48.99638889,72.17,38
20251031,39846,0648_6864,2.29111111,48.87277778,81.72,38
20251031,101009,0654_6873,2.38333333,48.95527778,61.10,38
20251031,83926,0651_6864,2.34527778,48.86722222,62.38,17
20251031,187191,0647_6862,2.29000000,48.84722222,61.62,38
20251031,168099,0640_6864,2.18444444,48.86666667,97.55,38
20251031,182925,0655_6865,2.39500000,48.87694444,174.81,38
20251031,160124,0639_6869,2.17722222,48.91611111,71.18,38
20251031,53203,0622_6853,1.94916667,48.76833333,206.25,38
20251031,99163,0648_6864,2.30138889,48.87388889,78.35,17
20251031,96975,0632_6882,2.07833333,49.03194444,48.57,17
20251031,21469,0663_6846,2.50194444,48.70444444,91.62,17
20251031,71803,0654_6865,2.37750000,48.88138889,85.12,38
20251031,109778,0653_6866,2.36861111,48.89055556,58.87,17
20251031,106102,0665_6880,2.53250000,49.01250000,129.36,17
20251031,160793,0648_6864,2.30000000,48.87111111,77.45,38
20251031,82892,0663_6879,2.50666667,49.00166667,107.09,17
20251031,150588,0667_6879,2.56194444,49.00250000,137.01,17
20251031,125665,0653_6862,2.36833333,48.85555556,67.37,38
20251031,160023,0653_6867,2.36583333,48.89944444,67.37,38
20251031,66077,0647_6860,2.28194444,48.83250000,67.09,17
