date,line,tile_id,lon,lat,height,nature_id
20251031,56649,0649_6864,2.30500000,48.87277778,79.22,38
20251031,56747,0625_6859,1.98500000,48.82527778,149.30,38
20251031,82698,0650_6868,2.32166667,48.90472222,66.89,17
20251031,137684,0645_6861,2.25611111,48.84027778,67.99,38
20251031,37511,0645_6860,2.25166667,48.83472222,68.43,17
20251031,62518,0662_6844,2.49527778,48.69416667,88.80,17
20251031,132117,0656_6864,2.40861111,48.87027778,140.16,38
20251031,116358,0631_6875,2.06611111,48.96666667,48.30,38
20251031,169498,0653_6860,2.36222222,48.83500000,78.80,38
20251031,116867,0647_6863,2.28000000,48.86000000,94.79,38
20251031,118078,0626_6854,2.00083333,48.77611111,194.58,38
20251031,179060,0660_6858,2.45944444,48.81583333,61.67,38
20251031,167645,0660_6867,2.46277778,48.89500000,87.04,38
20251031,123440,0653_6866,2.36777778,48.88805556,91.31,17
20251031,121499,0645_6861,2.25583333,48.84305556,68.77,17
20251031,4581,0643_6877,2.22944444,48.98527778,95.34,38
20251031,151368,0657_6870,2.41444444,48.92472222,65.30,38
20251031,86239,0649_6865,2.30777778,48.88111111,71.60,38
20251031,128274,0651_6863,2.33972222,48.86444444,80.71,19
20251031,166201,0623_6877,1.95916667,48.98000000,60.40,17
20251031,76993,0644_6886,2.23472222,49.06444444,147.06,17
20251031,87215,0656_6853,2.40944444,48.76972222,79.63,38
20251031,165286,0661_6836,2.48388889,48.61666667,85.72,38
20251031,9562,0626_6859,1.99472222,48.82277778,137.72,17
20251031,86700,0650_6856,2.32833333,48.79944444,72.07,17
20251031,177872,0651_6866,2.33305556,48.88666667,108.96,17
20251031,85708,0652_6871,2.35833333,48.93083333,54.42,38
20251031,83260,0650_6848,2.32027778,48.72916667,100.38,17
20251031,41160,0642_6864,2.21777778,48.86833333,120.89,38
20251031,193716,0644_6854,2.25055556,48.77666667,191.82,38
20251031,101357,0651_6862,2.34388889,48.85388889,59.13,38
20251031,98314,0652_6856,2.34777778,48.79750000,121.74,38
20251031,130365,0646_6876,2.26250000,48.97416667,73.00,17
20251031,98365,0644_6861,2.24555556,48.83861111,52.44,38
20251031,85077,0653_6839,2.36944444,48.64750000,100.43,38
20251031,190628,0663_6845,2.50444444,48.69833333,78.57,38
20251031,22192,0651_6842,2.34083333,48.67444444,104.12,38
20251031,177957,0654_6859,2.37750000,48.82500000,54.74,38
20251031,58965,0651_6862,2.34416667,48.85555556,66.75,17
20251031,79021,0667_6868,2.55111111,48.90500000,132.60,17
20251031,138513,0621_6879,1.92777778,49.00222222,46.47,17
20251031,7776,0632_6883,2.08194444,49.03888889,66.59,17
20251031,88057,0655_6859,2.39944444,48.82138889,43.69,17
20251031,100183,0654_6860,2.37777778,48.83222222,74.32,38
20251031,177317,0642_6879,2.20861111,49.00638889,98.42,17
20251031,149937,0655_6871,2.39888889,48.93222222,70.08,38
20251031,156163,0650_6868,2.32555556,48.90333333,78.16,38
20251031,85982,0662_6853,2.48722222,48.77138889,98.62,38
20251031,144320,0665_6877,2.53055556,48.99111111,100.11,17
20251031,143059,0633_6879,2.09083333,49.00416667,65.73,17
20251031,172120,0654_6873,2.37444444,48.95277778,92.26,38
20251031,178077,0649_6864,2.31305556,48.87361111,64.19,38
20251031,187089,0654_6868,2.37361111,48.91027778,60.42,38
20251031,188714,0656_6869,2.40722222,48.91805556,63.15,17
20251031,66643,0647_6860,2.28361111,48.83472222,70.74,38
20251031,92536,0667_6874,2.55833333,48.96305556,76.61,17
20251031,103423,0654_6866,2.38583333,48.88972222,76.82,38
20251031,93516,0643_6872,2.23083333,48.94472222,96.48,38
20251031,182443,0668_6879,2.56638889,49.01000000,138.63,38
20251031,158775,0639_6861,2.17277778,48.84194444,189.68,17
20251031,175562,0669_6879,2.58444444,49.00333333,119.36,17
20251031,146816,0665_6878,2.53472222,49.00083333,106.95,17
20251031,95068,0654_6877,2.37277778,48.98555556,95.73,17
20251031,190261,0648_6861,2.29777778,48.84027778,58.65,17
20251031,4293,0642_6878,2.21611111,48.99722222,98.18,38
20251031,94899,0652_6857,2.35444444,48.80277778,145.52,38
20251031,127745,0644_6868,2.24055556,48.90611111,58.19,38
20251031,189472,0642_6872,2.21361111,48.94305556,68.12,38
20251031,106079,0651_6868,2.34361111,48.90805556,71.09,38
20251031,126399,0636_6856,2.13805556,48.79444444,141.72,17
20251031,16554,0635_6859,2.12500000,48.82638889,158.56,38
20251031,68425,0652_6860,2.35722222,48.83444444,98.84,38
