20251031,46164,646487.3207501665,6863021.503494583,92.52,True
20251031,45429,646568.8305148182,6863020.751070662,89.78,True
20251031,133459,650685.3499907883,6863015.131760042,72.16,True
20251031,82194,648326.866402131,6863059.983341612,67.49,True
20251031,184468,650278.0659911891,6863049.502335151,50.43,True
20251031,131998,650807.8770733604,6863044.978798058,60.85,True
20251031,174669,651215.4243399096,6863041.532128963,62.39,True
20251031,177137,651235.8017095928,6863041.3605481945,62.2,True
20251031,123041,651765.6135324384,6863036.924609465,65.61,True
20251031,172105,651969.3874181422,6863035.231382392,71.75,True
20251031,91710,652764.0657397559,6863035.200408322,61.73,True
20251031,174930,646936.4734134964,6863110.038716961,91.27,True
20251031,134725,647547.7875594409,6863104.470895598,95.34,True
20251031,125050,649300.2246587563,6863088.867366009,61.5,True
20251031,118900,651297.1935126934,6863071.732901454,62.43,True
20251031,143248,652294.9645637126,6863061.0246038055,59.84,True
20251031,81817,652828.7578928655,6863057.638837876,60.49,True
20251031,157774,653966.620061068,6863049.903893731,69.46,True
20251031,178421,654068.5067678381,6863049.095098143,68.79,True
20251031,57290,655046.6198712557,6863041.421843027,98.14,True
20251031,154891,646651.4781442111,6863143.5455671325,82.86,True
20251031,134560,648302.0181392931,6863128.579302611,81.52,True
20251031,124921,648648.4283053041,6863125.49794695,69.28,True
20251031,101613,649078.4953155001,6863123.327367221,70.23,True
20251031,112234,649565.3972750267,6863117.441415637,84.41,True
20251031,185645,649850.6767688975,6863114.964544504,47.85,True
20251031,83120,651146.6797195444,6863101.583181656,61.42,True
20251031,158589,652010.653977529,6863096.66699934,60.0,True
20251031,79528,652234.8029430835,6863094.814325939,62.06,True
20251031,181184,652275.1084848465,6863094.607965361,58.25,True
20251031,168835,653151.7767251799,6863087.325529077,59.09,True
20251031,17626,653458.6423799797,6863086.17987628,70.46,True
20251031,132967,655211.3273111564,6863071.123525078,87.4,True
20251031,142095,655290.3,6863068.8,90.96,True
20251031,104261,647161.1853600882,6863169.762659042,91.25,True
20251031,71492,647263.0700059358,6863168.834111144,87.32,True
20251031,193773,647589.1007878938,6863165.875010363,93.13,True
20251031,135842,648933.9796979746,6863153.862487653,68.18,True
20251031,150193,650441.8775035591,6863140.765219821,61.77,True
20251031,151968,650523.3855896419,6863140.068441971,61.04,True
20251031,146398,650625.2707110198,6863139.199082532,57.33,True
20251031,149639,651399.5981304328,6863132.650516008,56.48,True
20251031,134572,651582.99159433,6863131.114700743,68.1,True
20251031,163468,652114.3413765103,6863126.489635573,53.38,True
20251031,46688,652601.2132612194,6863122.957221993,67.11,True
20251031,141021,653091.1164437254,6863118.03417328,65.51,True
20251031,132477,653420.3,6863112.1,67.39,True
20251031,58237,654150.5051012047,6863110.222954467,68.2,True
20251031,85760,654741.4420431654,6863105.575645397,82.19,True
20251031,96058,655597.2825856702,6863098.951940183,130.9,True
20251031,144282,646835.4532737853,6863203.626976973,78.9,True
20251031,137328,649301.035674839,6863181.527134808,66.09,True
20251031,87023,649565.9351274715,6863179.21462725,92.71,True
20251031,185190,649790.0809005682,6863177.267352207,47.48,True
20251031,166473,650910.810887107,6863167.66108126,60.51,True
20251031,169489,653335.6692734533,6863147.618737447,59.25,True
20251031,56734,654558.2900749525,6863137.898292195,86.32,True
20251031,169998,655332.6176331114,6863131.875484384,128.09,True
20251031,109337,647793.4268983153,6863225.80791955,90.91,True
20251031,130535,647956.4406879895,6863224.340976023,89.98,True
20251031,88992,648084.6315001677,6863224.618384991,83.98,True
20251031,45052,648710.3799993757,6863217.6160376435,73.2,True
20251031,78185,650911.072642236,6863198.547760301,67.71,True
20251031,89581,652378.526621599,6863187.329180751,68.95,True
20251031,186757,655292.1019254058,6863163.076761853,121.72,True
20251031,67481,655825.4622027304,6863154.036037338,122.43,True
20251031,182062,646516.6,6863278.7,67.49,True
20251031,161193,647589.9391852345,6863258.5345819825,93.74,True
20251031,95668,647773.3286654745,6863256.878150523,92.27,True
20251031,181658,650218.5266656247,6863235.347215319,64.93,True
20251031,97008,650238.9033535025,6863235.172127617,58.88,True
20251031,83926,651972.5879874813,6863216.757889247,62.38,True
20251031,129904,652072.8077536017,6863219.7077727,73.62,True
20251031,164708,652989.7617667136,6863212.19332994,56.9,True
20251031,108242,653539.9347415249,6863207.754339496,54.34,True
20251031,65729,653845.5865756262,6863205.310813641,76.18,True
20251031,123108,649077.7046692326,6863276.153141222,59.76,True
20251031,178444,649240.7170415443,6863274.722340804,69.63,True
20251031,123015,650159.8797032529,6863271.805887965,43.93,True
20251031,117237,650198.4155365332,6863266.409036793,58.95,True
20251031,183075,651930.8082169624,6863250.755067666,52.4,True
20251031,91991,653985.5903329593,6863233.698379993,70.28,True
20251031,171083,654844.4126318786,6863228.382815837,93.59,True
20251031,150384,652052.9423525683,6863281.649907805,56.72,True
20251031,176231,652399.3433577328,6863278.792869806,62.08,True
20251031,171018,652480.8495013819,6863278.1236361945,64.0,True
20251031,80706,652642.9575262192,6863273.885360686,66.02,True
20251031,158637,653051.985919103,6863275.451810322,56.08,True
20251031,174422,655415.0768137273,6863254.79506538,99.14,True
20251031,140152,647616.1,6863350.3,90.83,True
20251031,133362,647957.5507287151,6863347.887219608,89.17,True
20251031,143454,649363.526903784,6863335.411600885,61.69,True
20251031,46172,650260.0757388168,6863327.657129543,67.15,True
20251031,87523,650605.0582207434,6863325.501886301,62.86,True
20251031,117329,653214.6546930833,6863303.03895607,42.03,True
20251031,91261,653662.9367204466,6863299.435463141,68.0,True
20251031,184206,655050.2664097046,6863283.730797223,86.79,True
20251031,58374,655415.3145563581,6863285.681969613,107.64,True
20251031,172133,646756.4742283688,6863391.477012969,83.84,True
20251031,52574,647061.2768133144,6863386.898544928,84.69,True
20251031,9466,647387.2953679701,6863383.928035821,88.13,True
20251031,116869,647489.1762005311,6863383.003514936,92.76,True
20251031,57291,648426.4806183047,6863374.582003719,85.38,True
20251031,47949,650484.4798044236,6863356.623413467,63.76,True
20251031,153894,651058.5229043231,6863349.565789219,55.24,True
20251031,129854,651116.1441867134,6863351.258029199,62.22,True
20251031,43015,651482.4650081384,6863346.8953019995,70.15,True
20251031,52415,651645.9276655997,6863346.8111448195,82.95,True
20251031,154852,651851.8439930769,6863345.715717071,64.89,True
20251031,145670,653214.9041705385,6863333.9257755065,72.63,True
20251031,71307,653724.3128704557,6863329.833607046,64.75,True
20251031,97743,654500.9337898152,6863320.878893848,96.42,True
20251031,169036,647489.4562100034,6863413.890080431,88.84,True
20251031,47947,648447.1317191095,6863405.287223244,86.63,True
20251031,127447,649139.9191376136,6863399.162583012,66.78,True
20251031,44287,650280.9823495331,6863389.255573956,69.83,True
20251031,49059,651034.9001758965,6863382.833197199,75.76,True
20251031,16028,651605.4331371436,6863378.038249185,107.48,True
20251031,39265,652300.3,6863375.2,71.78,True
20251031,185104,653683.3352456782,6863357.389000557,61.3,True
20251031,182196,654274.7184957133,6863356.351257399,70.35,True
20251031,179282,654314.9284161254,6863357.259595349,72.07,True
20251031,97007,654559.9862176013,6863354.106319294,88.46,True
20251031,92999,647611.9919362104,6863443.6696058735,91.55,True
20251031,92209,648651.1664646858,6863434.36388565,78.95,True
20251031,108161,648691.9184408763,6863434.002754462,92.7,True
20251031,129145,648751.5610354355,6863434.529388586,79.19,True
20251031,187968,651320.4801867041,6863415.865517071,55.98,True
20251031,41848,651575.6,6863399.0,49.93,True
20251031,127701,652627.6683962408,6863393.892830195,64.54,True
20251031,85213,652665.24800366,6863400.169251863,63.34,True
20251031,167288,653541.4211751819,6863393.075316808,63.66,True
20251031,84485,655762.4230012024,6863375.686814559,132.8,True
20251031,175298,648080.4987010552,6863470.5401973985,88.03,True
20251031,171951,650890.9372933892,6863445.350826443,71.77,True
