date,line,tile_id,lon,lat,height,nature_id
20251031,193090,0655_6849,2.39500000,48.73277778,122.48,26
20251031,50606,0657_6835,2.43000000,48.61111111,107.85,26
20251031,150318,0630_6861,2.05916667,48.84250000,151.44,42
20251031,170675,0634_6884,2.10083333,49.04361111,55.64,26
20251031,143058,0616_6875,1.86083333,48.96388889,70.32,26
20251031,170296,0639_6875,2.17444444,48.96666667,60.81,23
20251031,187868,0655_6842,2.39138889,48.67500000,73.26,23
20251031,133628,0640_6878,2.18472222,48.99611111,109.11,26
20251031,156903,0622_6853,1.94000000,48.76777778,201.01,48
20251031,146358,0676_6852,2.67888889,48.76250000,145.30,23
20251031,97863,0657_6848,2.42583333,48.72777778,65.56,23
20251031,146810,0667_6839,2.56000000,48.65027778,107.32,23
20251031,90778,0645_6846,2.25472222,48.71111111,89.26,26
20251031,165747,0659_6887,2.44027778,49.07861111,158.32,23
20251031,29088,0664_6893,2.50861111,49.12888889,125.88,4
20251031,129569,0641_6851,2.20222222,48.75250000,131.26,48
20251031,104801,0647_6858,2.28111111,48.81500000,83.58,12
20251031,155871,0643_6873,2.22444444,48.94972222,85.20,23
20251031,98001,0648_6876,2.29055556,48.97972222,54.57,12
20251031,134426,0642_6879,2.21305556,49.00194444,98.47,23
20251031,150651,0643_6863,2.23583333,48.85777778,45.92,26
20251031,124633,0655_6860,2.39027778,48.83638889,51.99,23
20251031,104680,0659_6903,2.44500000,49.22055556,80.03,26
20251031,79651,0624_6863,1.97055556,48.85944444,133.99,23
20251031,30994,0620_6852,1.91500000,48.75861111,204.45,26
20251031,17094,0685_6882,2.79861111,49.02944444,166.84,23
20251031,112690,0674_6876,2.64500000,48.97666667,83.78,26
20251031,110078,0665_6889,2.52611111,49.09583333,150.53,23
20251031,37433,0672_6857,2.61888889,48.80666667,139.41,26
20251031,94717,0657_6868,2.41833333,48.90916667,72.21,23
20251031,106654,0639_6857,2.17805556,48.80583333,124.11,12
20251031,153181,0658_6843,2.43138889,48.68166667,94.52,26
20251031,143985,0646_6863,2.26805556,48.86388889,78.08,26
20251031,153833,0646_6876,2.26777778,48.98111111,78.79,23
20251031,48997,0628_6869,2.02944444,48.90972222,98.59,26
20251031,17675,0662_6837,2.48472222,48.63083333,124.47,23
20251031,121277,0665_6859,2.52333333,48.82583333,114.33,23
20251031,186504,0643_6841,2.23777778,48.66527778,193.30,23
20251031,136096,0641_6869,2.20611111,48.91750000,58.92,26
20251031,153847,0655_6858,2.38972222,48.81527778,57.64,23
20251031,52862,0629_6864,2.03555556,48.86638889,218.99,23
20251031,109313,0621_6875,1.93027778,48.96277778,107.86,23
20251031,147330,0627_6882,2.01166667,49.03305556,135.79,23
20251031,104968,0625_6853,1.98777778,48.76944444,205.22,23
20251031,192860,0622_6860,1.94305556,48.83527778,137.76,26
20251031,175734,0658_6854,2.43416667,48.77611111,50.58,42
20251031,158087,0647_6844,2.28666667,48.68833333,104.81,26
20251031,127936,0666_6863,2.53888889,48.86277778,63.80,26
20251031,188760,0631_6857,2.06194444,48.80527778,155.70,48
20251031,74410,0640_6873,2.18750000,48.94666667,84.09,48
20251031,54563,0633_6874,2.09444444,48.95583333,90.27,23
20251031,186350,0643_6853,2.22777778,48.76888889,177.44,23
20251031,94444,0632_6873,2.08305556,48.95250000,65.61,23
20251031,87904,0650_6881,2.32305556,49.02277778,200.60,48
20251031,77040,0669_6901,2.57777778,49.20694444,96.55,23
20251031,126342,0654_6901,2.37750000,49.20333333,54.58,23
20251031,183186,0666_6847,2.54361111,48.72194444,87.86,26
20251031,37645,0661_6859,2.47722222,48.82833333,59.02,23
20251031,103822,0677_6845,2.69500000,48.70055556,134.12,23
20251031,126093,0643_6866,2.23361111,48.88333333,75.95,42
20251031,184886,0677_6859,2.69277778,48.82388889,139.37,23
20251031,147065,0667_6839,2.56555556,48.64916667,99.42,42
20251031,64130,0641_6844,2.21027778,48.68638889,229.71,4
20251031,44755,0632_6856,2.07527778,48.79361111,178.33,26
20251031,160635,0641_6873,2.19861111,48.94972222,73.82,26
20251031,124418,0661_6866,2.48138889,48.88805556,79.30,26
20251031,120379,0663_6845,2.50638889,48.69916667,80.69,23
20251031,142157,0645_6874,2.26222222,48.96138889,89.80,26
20251031,51834,0657_6850,2.42666667,48.74138889,47.39,12
20251031,182967,0634_6882,2.10388889,49.02972222,75.63,23
20251031,39136,0663_6839,2.50972222,48.64722222,102.45,48
20251031,37960,0616_6863,1.85777778,48.85944444,153.30,23
20251031,98000,0649_6871,2.30750000,48.93638889,56.88,23
20251031,37322,0627_6873,2.00972222,48.94861111,53.36,23
20251031,96336,0656_6847,2.40861111,48.71611111,47.48,12
20251031,192618,0667_6874,2.56111111,48.96305556,91.69,26
20251031,39139,0654_6846,2.38222222,48.71222222,109.12,26
20251031,90431,0618_6848,1.89111111,48.72250000,183.90,23
20251031,97925,0661_6871,2.46972222,48.93111111,58.52,23
20251031,135710,0642_6857,2.21472222,48.80944444,194.45,26
20251031,93919,0656_6852,2.41083333,48.76416667,45.38,12
20251031,111317,0642_6864,2.22222222,48.87305556,73.74,26
20251031,94001,0639_6871,2.17805556,48.93361111,71.39,26
20251031,101864,0638_6878,2.15888889,48.99666667,99.34,26
20251031,5025,0657_6853,2.42694444,48.76750000,57.67,26
20251031,95296,0631_6835,2.07722222,48.60333333,145.71,23
20251031,90294,0673_6864,2.63972222,48.87305556,53.68,23
20251031,191052,0632_6881,2.07250000,49.01861111,76.86,23
20251031,43859,0684_6858,2.79027778,48.81583333,164.27,4
20251031,93823,0632_6878,2.08055556,48.99472222,79.63,26
20251031,79736,0622_6856,1.95111111,48.79750000,194.53,26
20251031,80793,0656_6837,2.40944444,48.62500000,111.00,26
20251031,97355,0654_6892,2.37138889,49.11805556,145.61,23
20251031,5176,0667_6859,2.55638889,48.82805556,106.17,23
20251031,122224,0646_6858,2.27277778,48.81416667,91.47,23
20251031,61784,0658_6846,2.43972222,48.71250000,48.98,26
20251031,112027,0636_6837,2.13305556,48.62694444,181.82,23
20251031,191443,0662_6837,2.49583333,48.63055556,125.67,26
20251031,81156,0653_6878,2.36916667,48.99583333,90.41,26
20251031,20629,0672_6846,2.62527778,48.70750000,131.98,23
